[2022-12-24 09:59:05,963:INFO:mainLog:MainThread] Scraper started
[2022-12-24 09:59:50,824:INFO:mainLog:Thread-7 (dump_categories)] Category dump is successfull
[2022-12-24 10:00:38,208:INFO:mainLog:MainThread] Media request with index 0 has been added
[2022-12-24 10:00:38,213:INFO:mainLog:MainThread] Media request with index 1 has been added
[2022-12-24 10:00:38,218:INFO:mainLog:MainThread] Media request with index 2 has been added
[2022-12-24 10:00:38,222:INFO:mainLog:MainThread] Media request with index 3 has been added
[2022-12-24 10:00:38,226:INFO:mainLog:MainThread] Media request with index 4 has been added
[2022-12-24 10:00:38,231:INFO:mainLog:MainThread] Media request with index 5 has been added
[2022-12-24 10:00:38,311:INFO:mainLog:MainThread] Media request with index 6 has been added
[2022-12-24 10:00:38,316:INFO:mainLog:MainThread] Media request with index 7 has been added
[2022-12-24 10:00:38,320:INFO:mainLog:MainThread] Text request with index 8 has been added
[2022-12-24 10:00:40,900:INFO:mainLog:MainThread] Text has been processed
[2022-12-24 10:00:41,174:INFO:mainLog:MainThread] Category processed successfully | Arabic: جاكيتات ومعاطف
[2022-12-24 10:00:41,182:INFO:mainLog:MainThread] Options have been populated
[2022-12-24 10:00:41,186:INFO:mainLog:MainThread] Category filling is done
[2022-12-24 10:00:42,256:INFO:mainLog:MainThread] Body request has been sent
[2022-12-24 10:00:42,262:INFO:mainLog:MainThread] Product created successfully with ID: 519762328 | SKU: 110932
[2022-12-24 10:00:46,484:INFO:mainLog:MainThread] Main image upload is successful | Status code: 200 | Reason: OK | Image name: media\photo9.jpg
[2022-12-24 10:00:49,940:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:00:52,621:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:00:56,199:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:00:58,842:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:01:02,421:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:01:05,510:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:01:05,533:INFO:mainLog:MainThread] Media request with index 15 has been added
[2022-12-24 10:01:05,538:INFO:mainLog:MainThread] Media request with index 16 has been added
[2022-12-24 10:01:05,543:INFO:mainLog:MainThread] Media request with index 17 has been added
[2022-12-24 10:01:05,549:INFO:mainLog:MainThread] Media request with index 18 has been added
[2022-12-24 10:01:05,564:INFO:mainLog:MainThread] Media request with index 19 has been added
[2022-12-24 10:01:05,569:INFO:mainLog:MainThread] Media request with index 20 has been added
[2022-12-24 10:01:05,577:INFO:mainLog:MainThread] Text request with index 21 has been added
[2022-12-24 10:01:07,159:INFO:mainLog:MainThread] Text has been processed
[2022-12-24 10:01:07,591:WARNING:mainLog:MainThread] Category قمصان وبلايز is not on the list
[2022-12-24 10:01:07,596:INFO:mainLog:MainThread] Options have been populated
